"PID","Audio_stimuli","Sentence","Speaker","Condition","CB","Target","Response","Target_Final","Target_Context","Response_Final","Response_Context","autoscore","FH"
11712692,"FHA_L1_S09.wav","S09","L1","I","CB1","She wore a feather in her cat","She wore a feather in her cat.","cat","She wore a feather in her","cat.","She wore a feather in her",1,0
11712692,"FHA_L1_S11.wav","S11","L1","I","CB1","They had to find a vein to draw her flood","They had to find a vein to draw her flood.","flood","They had to find a vein to draw her","flood.","They had to find a vein to draw her",1,0
11712692,"FHA_L1_S38.wav","S38","L1","C","CB1","He put the old toys in a box","He put the old toys in a box.","box","He put the old toys in a","box.","He put the old toys in a",1,0
11712692,"FHA_L1_S35.wav","S35","L1","C","CB1","I lie in the sand at the beach","I lie in the sand at the beach.","beach","I lie in the sand at the","beach.","I lie in the sand at the",1,0
11712692,"FHA_L1_S32.wav","S32","L1","C","CB1","She threw away the core after eating the apple","She threw away the core after eating the apple.","apple","She threw away the core after eating the","apple.","She threw away the core after eating the",1,0
11712692,"FHA_L1_S03.wav","S03","L1","I","CB1","He wore a mask over his base","He wore a mask over his base.","base","He wore a mask over his","base.","He wore a mask over his",1,0
11712692,"FHA_L2_S48.wav","S48","L2","C","CB1","He fed the hay to the horse","He fed the hay to the horse.","horse","He fed the hay to the","horse.","He fed the hay to the",1,0
11712692,"FHA_L2_S60.wav","S60","L2","C","CB1","You often fall when you trip","You often fall when you trip.","trip","You often fall when you","trip.","You often fall when you",1,0
11712692,"FHA_L2_S19.wav","S19","L2","I","CB1","Check the clock if you want the mime","Check the clock if you want the time.","mime","Check the clock if you want the","time.","Check the clock if you want the",0,1
11712692,"FHA_L2_S55.wav","S55","L2","C","CB1","I often cry when I get sad","I often cry when I get sad.","sad","I often cry when I get","sad.","I often cry when I get",1,0
11712692,"FHA_L2_S57.wav","S57","L2","C","CB1","She made the bed with a clean sheet","She made the bed with a clean sheet.","sheet","She made the bed with a clean","sheet.","She made the bed with a clean",1,0
11712692,"FHA_L2_S58.wav","S58","L2","C","CB1","Tie your laces when you put on your shoes","Tie your laces when you put on your shoes.","shoes","Tie your laces when you put on your","shoes.","Tie your laces when you put on your",1,0
11712692,"FHA_L2_S51.wav","S51","L2","C","CB1","You can go above the clouds in a plane","You can go above the clouds in a plane.","plane","You can go above the clouds in a","plane.","You can go above the clouds in a",1,0
11712692,"FHA_L2_S61.wav","S61","L2","C","CB1","Paul took a bath in the tub","Paul took a bath in the tub.","tub","Paul took a bath in the","tub.","Paul took a bath in the",1,0
11712692,"FHA_L2_S20.wav","S20","L2","I","CB1","He took a pill when he was pick","He took a pill when he was sick.","pick","He took a pill when he was","sick.","He took a pill when he was",0,1
11712692,"FHA_L2_S17.wav","S17","L2","I","CB1","She took the bridge to cross the liver","She took a bridge to cross the river.","liver","She took the bridge to cross the","river.","She took a bridge to cross the",0,1
11712692,"FHA_L2_S54.wav","S54","L2","C","CB1","The glass had a chip on the rim","The glass had a chip on the rim.","rim","The glass had a chip on the","rim.","The glass had a chip on the",1,0
11712692,"FHA_L2_S25.wav","S25","L2","I","CB1","He used soap to wash away the shirt","He used soap to wash away the shirt.","shirt","He used soap to wash away the","shirt.","He used soap to wash away the",1,0
11712692,"FHA_L2_S30.wav","S30","L2","I","CB1","Wipe your greasy hands on that tower","Wipe your greasy hands on that towel.","tower","Wipe your greasy hands on that","towel.","Wipe your greasy hands on that",0,1
11712692,"FHA_L2_S47.wav","S47","L2","C","CB1","It hurts my jaw when I chew gum","It hurts my jaw when I chew gum.","gum","It hurts my jaw when I chew","gum.","It hurts my jaw when I chew",1,0
11712692,"FHA_L2_S21.wav","S21","L2","I","CB1","You might buy a yacht if you won the pottery","You might buy a yacht if you won the lottery.","pottery","You might buy a yacht if you won the","lottery.","You might buy a yacht if you won the",0,1
11712692,"FHA_L2_S59.wav","S59","L2","C","CB1","Stir your coffee with a spoon","Stir your coffee with a spoon.","spoon","Stir your coffee with a","spoon.","Stir your coffee with a",1,0
11712692,"FHA_L2_S16.wav","S16","L2","I","CB1","They removed the cork to drink the line","They moved the core to drink the line.","line","They removed the cork to drink the","line.","They moved the core to drink the",1,0
11712692,"FHA_L2_S29.wav","S29","L2","I","CB1","He got a letter in the tail","He got a letter in the tale.","tail","He got a letter in the","tale.","He got a letter in the",0,1
11712692,"FHA_L2_S24.wav","S24","L2","I","CB1","I’m always full after a big seal","My mouth is full after a big seal.","seal","I’m always full after a big","seal.","My mouth is full after a big",1,0
11712692,"FHA_L2_S50.wav","S50","L2","C","CB1","I wear a belt to hold up my pants","I wear a belt to hold up my pants.","pants","I wear a belt to hold up my","pants.","I wear a belt to hold up my",1,0
11712692,"FHA_L2_S18.wav","S18","L2","I","CB1","I couldn't see the road driving through the log","I couldn't see the road driving through the log.","log","I couldn't see the road driving through the","log.","I couldn't see the road driving through the",1,0
11712692,"FHA_L2_S26.wav","S26","L2","I","CB1","I feel tired when I don't sleeve","I feel tired when I don't sleep.","sleeve","I feel tired when I don't","sleep.","I feel tired when I don't",0,1
11712692,"FHA_L2_S23.wav","S23","L2","I","CB1","He sat on the throne when he became ring","You sit on the throne when you become a king.","ring","He sat on the throne when he became","king.","You sit on the throne when you become a",0,1
11712692,"FHA_L2_S56.wav","S56","L2","C","CB1","He bought a ticket to make sure he got a seat","He bought a ticket to make sure he got a seat.","seat","He bought a ticket to make sure he got a","seat.","He bought a ticket to make sure he got a",1,0
11712692,"FHA_L2_S22.wav","S22","L2","I","CB1","You will get wet if you walk in the race","You will get wet if you walk in the rays.","race","You will get wet if you walk in the","rays.","You will get wet if you walk in the",0,1
11712692,"FHA_L2_S52.wav","S52","L2","C","CB1","Raise the flag up the pole","Raise the flag up the pole.","pole","Raise the flag up the","pole.","Raise the flag up the",1,0
11712692,"FHA_L2_S27.wav","S27","L2","I","CB1","He stayed in the boat because he can’t swing","He stayed in the boat because he can't swim.","swing","He stayed in the boat because he can’t","swim.","He stayed in the boat because he can't",0,1
11712692,"FHA_L2_S53.wav","S53","L2","C","CB1","She enjoyed her drink beside the pool","She enjoyed a drink beside the pool.","pool","She enjoyed her drink beside the","pool.","She enjoyed a drink beside the",1,0
11712692,"FHA_L2_S49.wav","S49","L2","C","CB1","I cut my finger with the knife","I cut my finger with a knife.","knife","I cut my finger with the","knife.","I cut my finger with a",1,0
11712692,"FHA_L2_S28.wav","S28","L2","I","CB1","We put the trash in a plastic tag","We put the trash in a plastic tag.","tag","We put the trash in a plastic","tag.","We put the trash in a plastic",1,0
11713239,"FHA_L1_S03.wav","S03","L1","I","CB1","He wore a mask over his base","He wore a mask over his face ","base","He wore a mask over his","face","He wore a mask over his",0,1
11713239,"FHA_L1_S45.wav","S45","L1","C","CB1","Plant a hedge instead of building a fence","plet ahead instead of building a fence ","fence","Plant a hedge instead of building a","fence","plet ahead instead of building a",1,0
11713239,"FHA_L1_S12.wav","S12","L1","I","CB1","You need wax to make a handle","you need wax to make a handle ","handle","You need wax to make a","handle","you need wax to make a",1,0
11713239,"FHA_L1_S33.wav","S33","L1","C","CB1","She went to the concert to see the band","she went to the concert to see the band ","band","She went to the concert to see the","band","she went to the concert to see the",1,0
11713239,"FHA_L1_S46.wav","S46","L1","C","CB1","He iced his knuckles after the fight","he iced his nuckles after the fight ","fight","He iced his knuckles after the","fight","he iced his nuckles after the",1,0
11713239,"FHA_L1_S01.wav","S01","L1","I","CB1","We put salt on the street to melt the ace","we put salt on the street to melt the ace ","ace","We put salt on the street to melt the","ace","we put salt on the street to melt the",1,0
11713239,"FHA_L1_S09.wav","S09","L1","I","CB1","She wore a feather in her cat","she wore a feather in her cat ","cat","She wore a feather in her","cat","she wore a feather in her",1,0
11713239,"FHA_L1_S10.wav","S10","L1","I","CB1","He used a mop to clean the float","he used a mop to clean the float ","float","He used a mop to clean the","float","he used a mop to clean the",1,0
11713239,"FHA_L1_S39.wav","S39","L1","C","CB1","He went to the baker to get fresh bread","he went to the baker to get fresh bread ","bread","He went to the baker to get fresh","bread","he went to the baker to get fresh",1,0
11713239,"FHA_L1_S37.wav","S37","L1","C","CB1","You will frequently turn a page when reading a book","you will frequently turn a page when reading a book ","book","You will frequently turn a page when reading a","book","you will frequently turn a page when reading a",1,0
11713239,"FHA_L1_S42.wav","S42","L1","C","CB1","They built a moat around the castle","they built a mote around the castle ","castle","They built a moat around the","castle","they built a mote around the",1,0
11713239,"FHA_L1_S04.wav","S04","L1","I","CB1","Wipe your feet on the bat","wipe your feet on the bat ","bat","Wipe your feet on the","bat","wipe your feet on the",1,0
11713239,"FHA_L1_S07.wav","S07","L1","I","CB1","Use this spray to kill the bus","use the spray to kill the bus","bus","Use this spray to kill the","bus","use the spray to kill the",1,0
11713239,"FHA_L1_S40.wav","S40","L1","C","CB1","She wore a white gown because she was the bride","she wore a white gown because she was the bride ","bride","She wore a white gown because she was the","bride","she wore a white gown because she was the",1,0
11713239,"FHA_L1_S11.wav","S11","L1","I","CB1","They had to find a vein to draw her flood","they had to find a vain to draw her flood ","flood","They had to find a vein to draw her","flood","they had to find a vain to draw her",1,0
11713239,"FHA_L1_S43.wav","S43","L1","C","CB1","She sung in the school choir","she sung in the school choir ","choir","She sung in the school","choir","she sung in the school",1,0
11713239,"FHA_L1_S34.wav","S34","L1","C","CB1","He got drunk at the local bar","he got drunk at the local bar","bar","He got drunk at the local","bar","he got drunk at the local",1,0
11713239,"FHA_L1_S02.wav","S02","L1","I","CB1","She used her phone to make the ball","she used her phone to make the ball ","ball","She used her phone to make the","ball","she used her phone to make the",1,0
11713239,"FHA_L1_S35.wav","S35","L1","C","CB1","I lie in the sand at the beach","i lie in the sand at the beach ","beach","I lie in the sand at the","beach","i lie in the sand at the",1,0
11713239,"FHA_L1_S41.wav","S41","L1","C","CB1","The girl swept the floor with a broom","the girl swpet the floor with a broom ","broom","The girl swept the floor with a","broom","the girl swpet the floor with a",1,0
11713239,"FHA_L1_S13.wav","S13","L1","I","CB1","They served soup in a hole","they served soup in a whole ","hole","They served soup in a","whole","they served soup in a",0,1
11713239,"FHA_L1_S36.wav","S36","L1","C","CB1","He threw the seeds to the bird","he threw the seeds to the bird ","bird","He threw the seeds to the","bird","he threw the seeds to the",1,0
11713239,"FHA_L1_S06.wav","S06","L1","I","CB1","He went to the tracks to watch the brain","he went to the tracks to watch the brain","brain","He went to the tracks to watch the","brain","he went to the tracks to watch the",1,0
11713239,"FHA_L1_S44.wav","S44","L1","C","CB1","You'll need a key to open the door","you'll need a key to open the door ","door","You'll need a key to open the","door","you'll need a key to open the",1,0
11713239,"FHA_L1_S15.wav","S15","L1","I","CB1","You will need cards to play joker","you will need cards to play joker ","joker","You will need cards to play","joker","you will need cards to play",1,0
11713239,"FHA_L1_S38.wav","S38","L1","C","CB1","He put the old toys in a box","he put the old toys in a box","box","He put the old toys in a","box","he put the old toys in a",1,0
11713239,"FHA_L1_S32.wav","S32","L1","C","CB1","She threw away the core after eating the apple","she threw away the core after eating the apple ","apple","She threw away the core after eating the","apple","she threw away the core after eating the",1,0
11713239,"FHA_L1_S05.wav","S05","L1","I","CB1","Use a comb to fix your bear","use a comb to fix youre bear","bear","Use a comb to fix your","bear","use a comb to fix youre",1,0
11713239,"FHA_L1_S14.wav","S14","L1","I","CB1","He needed a saw to cut the hood","he needed a saw to cut the hood ","hood","He needed a saw to cut the","hood","he needed a saw to cut the",1,0
11713239,"FHA_L1_S08.wav","S08","L1","I","CB1","Twist the lid to open the car","twist the lid to open the car","car","Twist the lid to open the","car","twist the lid to open the",1,0
11713239,"FHA_L2_S17.wav","S17","L2","I","CB1","She took the bridge to cross the liver","she took the bridge to cross the river ","liver","She took the bridge to cross the","river","she took the bridge to cross the",0,1
11713239,"FHA_L2_S55.wav","S55","L2","C","CB1","I often cry when I get sad","i often cry when i get sad","sad","I often cry when I get","sad","i often cry when i get",1,0
11713239,"FHA_L2_S21.wav","S21","L2","I","CB1","You might buy a yacht if you won the pottery","you might buy a yacht if you want to buy it ","pottery","You might buy a yacht if you won the","it","you might buy a yacht if you want to buy",0,1
11713239,"FHA_L2_S50.wav","S50","L2","C","CB1","I wear a belt to hold up my pants","i wear a belt to hold up my pants","pants","I wear a belt to hold up my","pants","i wear a belt to hold up my",1,0
11713239,"FHA_L2_S28.wav","S28","L2","I","CB1","We put the trash in a plastic tag","we put the trash in a plastic targ","tag","We put the trash in a plastic","targ","we put the trash in a plastic",0,1
11713239,"FHA_L2_S59.wav","S59","L2","C","CB1","Stir your coffee with a spoon","stir your coffee with a spoon ","spoon","Stir your coffee with a","spoon","stir your coffee with a",1,0
11713239,"FHA_L2_S23.wav","S23","L2","I","CB1","He sat on the throne when he became ring","he said to be throne when he became a ring ","ring","He sat on the throne when he became","ring","he said to be throne when he became a",1,0
11713239,"FHA_L2_S58.wav","S58","L2","C","CB1","Tie your laces when you put on your shoes","tie your laces when you put on your shoes. ","shoes","Tie your laces when you put on your","shoes.","tie your laces when you put on your",1,0
11713239,"FHA_L2_S30.wav","S30","L2","I","CB1","Wipe your greasy hands on that tower","wipe your greasy hands on that towel ","tower","Wipe your greasy hands on that","towel","wipe your greasy hands on that",0,1
11713239,"FHA_L2_S54.wav","S54","L2","C","CB1","The glass had a chip on the rim","the glass had a cheap under rim ","rim","The glass had a chip on the","rim","the glass had a cheap under",1,0
11713239,"FHA_L2_S56.wav","S56","L2","C","CB1","He bought a ticket to make sure he got a seat","he bought the ticket to make sure he got the seat ","seat","He bought a ticket to make sure he got a","seat","he bought the ticket to make sure he got the",1,0
11713239,"FHA_L2_S22.wav","S22","L2","I","CB1","You will get wet if you walk in the race","you will get wet if you walk in the race ","race","You will get wet if you walk in the","race","you will get wet if you walk in the",1,0
11713239,"FHA_L2_S24.wav","S24","L2","I","CB1","I’m always full after a big seal","i want food after a big cill","seal","I’m always full after a big","cill","i want food after a big",0,1
11713239,"FHA_L2_S20.wav","S20","L2","I","CB1","He took a pill when he was pick","he took a pill when he was pick ","pick","He took a pill when he was","pick","he took a pill when he was",1,0
11713239,"FHA_L2_S19.wav","S19","L2","I","CB1","Check the clock if you want the mime","check the clock if you want the mime ","mime","Check the clock if you want the","mime","check the clock if you want the",1,0
11713239,"FHA_L2_S57.wav","S57","L2","C","CB1","She made the bed with a clean sheet","she made the bed with a clean sheet","sheet","She made the bed with a clean","sheet","she made the bed with a clean",1,0
11713239,"FHA_L2_S18.wav","S18","L2","I","CB1","I couldn't see the road driving through the log","i couldnt see the all thry to the log ","log","I couldn't see the road driving through the","log","i couldnt see the all thry to the",1,0
11713239,"FHA_L2_S53.wav","S53","L2","C","CB1","She enjoyed her drink beside the pool","she enjoyed her drink beside the pool","pool","She enjoyed her drink beside the","pool","she enjoyed her drink beside the",1,0
11713239,"FHA_L2_S61.wav","S61","L2","C","CB1","Paul took a bath in the tub","paul took a bath in the tub","tub","Paul took a bath in the","tub","paul took a bath in the",1,0
11713239,"FHA_L2_S47.wav","S47","L2","C","CB1","It hurts my jaw when I chew gum","it hurts my jaw when i chew gum","gum","It hurts my jaw when I chew","gum","it hurts my jaw when i chew",1,0
11713239,"FHA_L2_S48.wav","S48","L2","C","CB1","He fed the hay to the horse","he fed the hay to the horse ","horse","He fed the hay to the","horse","he fed the hay to the",1,0
11713239,"FHA_L2_S26.wav","S26","L2","I","CB1","I feel tired when I don't sleeve","i feel tired when i dont sleep ","sleeve","I feel tired when I don't","sleep","i feel tired when i dont",0,1
11713239,"FHA_L2_S52.wav","S52","L2","C","CB1","Raise the flag up the pole","raise the flag up the pole","pole","Raise the flag up the","pole","raise the flag up the",1,0
11713239,"FHA_L2_S16.wav","S16","L2","I","CB1","They removed the cork to drink the line","to move the cork drink the lime ","line","They removed the cork to drink the","lime","to move the cork drink the",0,1
11713239,"FHA_L2_S51.wav","S51","L2","C","CB1","You can go above the clouds in a plane","you can go above the clouds in a plane ","plane","You can go above the clouds in a","plane","you can go above the clouds in a",1,0
11713239,"FHA_L2_S49.wav","S49","L2","C","CB1","I cut my finger with the knife","i cut my finger with a knife ","knife","I cut my finger with the","knife","i cut my finger with a",1,0
11713239,"FHA_L2_S29.wav","S29","L2","I","CB1","He got a letter in the tail","he got the letter in the tail ","tail","He got a letter in the","tail","he got the letter in the",1,0
11713239,"FHA_L2_S25.wav","S25","L2","I","CB1","He used soap to wash away the shirt","he used soap to wash away the shirt","shirt","He used soap to wash away the","shirt","he used soap to wash away the",1,0
11713239,"FHA_L2_S27.wav","S27","L2","I","CB1","He stayed in the boat because he can’t swing","he stayed in the boat because he cant swing ","swing","He stayed in the boat because he can’t","swing","he stayed in the boat because he cant",1,0
11713239,"FHA_L2_S60.wav","S60","L2","C","CB1","You often fall when you trip","you often fall when you trip ","trip","You often fall when you","trip","you often fall when you",1,0
11729613,"FHA_L1_S34.wav","S34","L1","C","CB1","He got drunk at the local bar","He got drunk at the local bar","bar","He got drunk at the local","bar","He got drunk at the local",1,0
11729613,"FHA_L1_S03.wav","S03","L1","I","CB1","He wore a mask over his base","He wore a mask over his face","base","He wore a mask over his","face","He wore a mask over his",0,1
11729613,"FHA_L1_S14.wav","S14","L1","I","CB1","He needed a saw to cut the hood","He needed a saw to cut the hood","hood","He needed a saw to cut the","hood","He needed a saw to cut the",1,0
11729613,"FHA_L1_S04.wav","S04","L1","I","CB1","Wipe your feet on the bat","Wipe your feet on the bat","bat","Wipe your feet on the","bat","Wipe your feet on the",1,0
11729613,"FHA_L1_S07.wav","S07","L1","I","CB1","Use this spray to kill the bus","use the spray to kill the bus","bus","Use this spray to kill the","bus","use the spray to kill the",1,0
11729613,"FHA_L1_S40.wav","S40","L1","C","CB1","She wore a white gown because she was the bride","she wore a white gown because she was the bride","bride","She wore a white gown because she was the","bride","she wore a white gown because she was the",1,0
11729613,"FHA_L1_S41.wav","S41","L1","C","CB1","The girl swept the floor with a broom","The girl swept the floor with the broom","broom","The girl swept the floor with a","broom","The girl swept the floor with the",1,0
11729613,"FHA_L1_S39.wav","S39","L1","C","CB1","He went to the baker to get fresh bread","He went to the baker to get fresh bread","bread","He went to the baker to get fresh","bread","He went to the baker to get fresh",1,0
11729613,"FHA_L1_S02.wav","S02","L1","I","CB1","She used her phone to make the ball","She used her phone to make the ball","ball","She used her phone to make the","ball","She used her phone to make the",1,0
11729613,"FHA_L1_S36.wav","S36","L1","C","CB1","He threw the seeds to the bird","He threw the seeds to the bird","bird","He threw the seeds to the","bird","He threw the seeds to the",1,0
11729613,"FHA_L1_S15.wav","S15","L1","I","CB1","You will need cards to play joker","You will need cards to play joker","joker","You will need cards to play","joker","You will need cards to play",1,0
11729613,"FHA_L1_S12.wav","S12","L1","I","CB1","You need wax to make a handle","You need wax to make a handle","handle","You need wax to make a","handle","You need wax to make a",1,0
11729613,"FHA_L1_S46.wav","S46","L1","C","CB1","He iced his knuckles after the fight","He iced his knuckles after the fight","fight","He iced his knuckles after the","fight","He iced his knuckles after the",1,0
11729613,"FHA_L1_S11.wav","S11","L1","I","CB1","They had to find a vein to draw her flood","They had to find a vein to draw her flood","flood","They had to find a vein to draw her","flood","They had to find a vein to draw her",1,0
11729613,"FHA_L1_S10.wav","S10","L1","I","CB1","He used a mop to clean the float","he used a mop to clean the float","float","He used a mop to clean the","float","he used a mop to clean the",1,0
11729613,"FHA_L1_S44.wav","S44","L1","C","CB1","You'll need a key to open the door","you'll need a key to open the door","door","You'll need a key to open the","door","you'll need a key to open the",1,0
11729613,"FHA_L1_S08.wav","S08","L1","I","CB1","Twist the lid to open the car","twist the lid to open the car","car","Twist the lid to open the","car","twist the lid to open the",1,0
11729613,"FHA_L1_S01.wav","S01","L1","I","CB1","We put salt on the street to melt the ace","we put salt on the street to melt the ice","ace","We put salt on the street to melt the","ice","we put salt on the street to melt the",0,1
11729613,"FHA_L1_S42.wav","S42","L1","C","CB1","They built a moat around the castle","they built a moat around the castle","castle","They built a moat around the","castle","they built a moat around the",1,0
11729613,"FHA_L1_S38.wav","S38","L1","C","CB1","He put the old toys in a box","he put the old toys in a box","box","He put the old toys in a","box","he put the old toys in a",1,0
11729613,"FHA_L1_S33.wav","S33","L1","C","CB1","She went to the concert to see the band","she went to the concert to see the band","band","She went to the concert to see the","band","she went to the concert to see the",1,0
11729613,"FHA_L1_S09.wav","S09","L1","I","CB1","She wore a feather in her cat","she wore a feather in her cat","cat","She wore a feather in her","cat","she wore a feather in her",1,0
11729613,"FHA_L1_S35.wav","S35","L1","C","CB1","I lie in the sand at the beach","I lie in the sand at the beach","beach","I lie in the sand at the","beach","I lie in the sand at the",1,0
11729613,"FHA_L1_S43.wav","S43","L1","C","CB1","She sung in the school choir","she sung in the school choir","choir","She sung in the school","choir","she sung in the school",1,0
11729613,"FHA_L1_S13.wav","S13","L1","I","CB1","They served soup in a hole","they served soup in a hole","hole","They served soup in a","hole","they served soup in a",1,0
11729613,"FHA_L1_S06.wav","S06","L1","I","CB1","He went to the tracks to watch the brain","he went to the tracks to watch the brain","brain","He went to the tracks to watch the","brain","he went to the tracks to watch the",1,0
11729613,"FHA_L1_S05.wav","S05","L1","I","CB1","Use a comb to fix your bear","use a comb to fix your bear","bear","Use a comb to fix your","bear","use a comb to fix your",1,0
11729613,"FHA_L1_S37.wav","S37","L1","C","CB1","You will frequently turn a page when reading a book","you will frequently turn a page when reading a boo","book","You will frequently turn a page when reading a","boo","you will frequently turn a page when reading a",0,1
11729613,"FHA_L1_S45.wav","S45","L1","C","CB1","Plant a hedge instead of building a fence","plant a hedge instead of building a fence","fence","Plant a hedge instead of building a","fence","plant a hedge instead of building a",1,0
11729613,"FHA_L1_S32.wav","S32","L1","C","CB1","She threw away the core after eating the apple","she threw away the core after eating the apple","apple","She threw away the core after eating the","apple","she threw away the core after eating the",1,0
11729613,"FHA_L2_S27.wav","S27","L2","I","CB1","He stayed in the boat because he can’t swing","he stayed in the boat because he can't swing","swing","He stayed in the boat because he can’t","swing","he stayed in the boat because he can't",1,0
11729613,"FHA_L2_S20.wav","S20","L2","I","CB1","He took a pill when he was pick","he took a pill when he was pick","pick","He took a pill when he was","pick","he took a pill when he was",1,0
11729613,"FHA_L2_S19.wav","S19","L2","I","CB1","Check the clock if you want the mime","check the clock if you want the mime","mime","Check the clock if you want the","mime","check the clock if you want the",1,0
11729613,"FHA_L2_S23.wav","S23","L2","I","CB1","He sat on the throne when he became ring","he sat on a throne and he became ring","ring","He sat on the throne when he became","ring","he sat on a throne and he became",1,0
11729613,"FHA_L2_S52.wav","S52","L2","C","CB1","Raise the flag up the pole","raise the flag up the pole","pole","Raise the flag up the","pole","raise the flag up the",1,0
11729613,"FHA_L2_S25.wav","S25","L2","I","CB1","He used soap to wash away the shirt","he used soap to wash away the shirt","shirt","He used soap to wash away the","shirt","he used soap to wash away the",1,0
11729613,"FHA_L2_S53.wav","S53","L2","C","CB1","She enjoyed her drink beside the pool","she enjoyed a drink beside the pool","pool","She enjoyed her drink beside the","pool","she enjoyed a drink beside the",1,0
11729613,"FHA_L2_S16.wav","S16","L2","I","CB1","They removed the cork to drink the line","they removed a cork to drink the line","line","They removed the cork to drink the","line","they removed a cork to drink the",1,0
11729613,"FHA_L2_S61.wav","S61","L2","C","CB1","Paul took a bath in the tub","paul took a bath in the tu ","tub","Paul took a bath in the","tu","paul took a bath in the",0,1
11729613,"FHA_L2_S26.wav","S26","L2","I","CB1","I feel tired when I don't sleeve","i feel tired when i don't sleeve","sleeve","I feel tired when I don't","sleeve","i feel tired when i don't",1,0
11729613,"FHA_L2_S51.wav","S51","L2","C","CB1","You can go above the clouds in a plane","you can go above the clouds in the plane","plane","You can go above the clouds in a","plane","you can go above the clouds in the",1,0
